Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,SRS.SOS,NFL.Rushing.Avg
5,22,22,17.7,4,6,26,106.83333333333333,32.416666666666664,139.25,21.5,6.2,3.5
4.9,10,23,10,0,5.5,10,76.54545454545455,20.818181818181817,97.36363636363636,15.727272727272727,-2.46,3.4
4.7,5,0,0,0,4.7,5,40.916666666666664,0,40.916666666666664,8.75,2.34,3.1
4.6,3,4,9.3,0,4.8,3,46.111111111111114,4.111111111111111,50.22222222222222,10,6.82,4.242857142857143
4.4,8,32,8,2,4.9,10,96.0909090909091,23.181818181818183,119.27272727272727,21.636363636363637,-3.19,3.82
4.4,3,10,13,0,4.9,3,81.27272727272727,11.818181818181818,93.0909090909091,18.272727272727273,0.96,4.125
4.3,4,35,7.9,2,4.7,6,113.9090909090909,25.181818181818183,139.0909090909091,26.727272727272727,5.4,2.3
4.3,6,11,9.9,0,4.7,6,48.90909090909091,9.909090909090908,58.81818181818182,11.454545454545455,-2.58,4.28
4.3,4,7,10.1,0,4.7,4,36.54545454545455,6.454545454545454,43,8.545454545454545,8.25,4.133333333333333
4.1,5,21,9.8,0,4.9,5,48.09090909090909,18.636363636363637,66.72727272727273,11.818181818181818,4.47,3.966666666666667
4,10,29,9.9,1,4.7,11,91.27272727272727,26,117.27272727272727,22.545454545454547,2.04,3.4
3.8,8,13,7.4,0,4,8,82.9090909090909,8.727272727272727,91.63636363636364,21.545454545454547,-3.79,3.2
3.4,4,17,7.5,1,3.8,5,62.90909090909091,11.545454545454545,74.45454545454545,18.272727272727273,4.33,3.911111111111111
7.4,9,3,14.7,2,7.5,11,164.8,8.8,173.6,22.4,3.81,3.966666666666667
7.3,10,9,21.2,0,8,10,110.9090909090909,17.363636363636363,128.27272727272728,15.181818181818182,0.93,4.2
6.6,5,5,6,0,6.6,5,49.54545454545455,2.727272727272727,52.27272727272727,7.454545454545454,0.94,3.25
6.5,7,2,0,0,6.4,7,63.833333333333336,0,63.833333333333336,9.833333333333334,4.77,3
6,4,7,15,2,6.5,6,68.0909090909091,9.545454545454545,77.63636363636364,11.363636363636363,-1.45,3.4
5.9,27,24,10.9,1,6.2,28,193.0909090909091,23.818181818181817,216.9090909090909,32.81818181818182,6.07,4.125
5.9,17,17,15,2,6.5,19,128.72727272727272,23.181818181818183,151.9090909090909,22,0.94,4.06
5.6,12,22,13,3,6.2,15,116.27272727272727,26.09090909090909,142.36363636363637,20.818181818181817,4.57,4.2
5.6,8,13,6.8,0,5.7,8,66.58333333333333,7.333333333333333,73.91666666666667,11.833333333333334,6.52,4.733333333333333
5.5,13,28,6.4,2,5.6,15,118.45454545454545,16.272727272727273,134.72727272727272,21.636363636363637,2.63,3.911111111111111
5.5,7,4,7.8,0,5.6,7,88.18181818181819,2.8181818181818183,91,16,4.42,4
5.5,5,10,13.6,1,6.2,6,57,13.6,70.6,10.3,-6.77,4.633333333333334
5.3,11,22,8.8,0,5.7,11,88.3,19.4,107.7,16.6,3.71,3.2
5.2,13,18,9.8,0,5.4,13,143.8181818181818,16,159.8181818181818,27.818181818181817,2.92,4.125
5.2,15,6,7.5,0,5.2,15,138.63636363636363,4.090909090909091,142.72727272727272,26.818181818181817,1.78,3.8249999999999997
5.2,13,23,8,1,5.4,14,132.9090909090909,16.727272727272727,149.63636363636363,25.727272727272727,1.54,3.6666666666666665
5.2,12,15,9.3,0,5.6,12,69.18181818181819,12.727272727272727,81.9090909090909,13.272727272727273,3.86,3.966666666666667
5.1,7,18,8.6,0,5.4,7,98.36363636363636,14,112.36363636363636,19.272727272727273,-0.04,4.133333333333333
5,8,6,5.7,0,5,8,65.18181818181819,3.090909090909091,68.27272727272727,13.090909090909092,-0.23,4.28
4.9,19,11,9.7,1,5,20,162.45454545454547,9.727272727272727,172.1818181818182,33.18181818181818,-10.43,3
4.9,4,22,7.5,0,5.2,4,70.1,16.6,86.7,14.4,3.32,3.5
4.9,10,10,11.7,0,5.3,10,63.45454545454545,10.636363636363637,74.0909090909091,13,2.68,4.2
4.8,12,2,5.5,1,4.8,13,106.63636363636364,1,107.63636363636364,22.181818181818183,-6.24,4.366666666666667
4.6,13,26,14.8,4,5.5,17,107.0909090909091,35,142.0909090909091,23.454545454545453,6.05,4.242857142857143
4.4,4,11,12.7,1,5.1,5,59.22222222222222,15.555555555555555,74.77777777777777,13.444444444444445,0.54,3.933333333333333
3.6,5,20,13,0,4.5,5,61.72727272727273,23.545454545454547,85.27272727272727,17.09090909090909,5.08,4.7
3.6,1,1,5,0,3.6,1,27.7,0.5,28.2,7.7,3.86,4.033333333333333
6.5,20,16,5.3,0,6.4,20,164.5,7,171.5,25.333333333333332,-5.75,4.28
6.5,12,8,5.9,0,6.4,12,106.9090909090909,4.2727272727272725,111.18181818181819,16.545454545454547,-8.96,4.633333333333334
6.3,11,30,8.4,1,6.6,12,133.5,21.083333333333332,154.58333333333334,21.083333333333332,1.66,4.2
6.3,8,3,1,0,6.2,8,71.81818181818181,0.2727272727272727,72.0909090909091,11.363636363636363,7.14,4
6.2,6,0,0,0,6.2,6,68.66666666666667,0,68.66666666666667,11,-4.38,5.199999999999999
6,20,1,9,0,6,20,169.5,0.75,170.25,28.083333333333332,0.88,3.8249999999999997
6,6,3,7,0,6,6,60.18181818181818,1.9090909090909092,62.09090909090909,10.090909090909092,5.15,4.733333333333333
5.9,8,4,11,2,6,10,83.8,4.4,88.2,14.3,3.86,4.4
5.6,5,6,6.2,0,5.6,5,72.66666666666667,4.111111111111111,76.77777777777777,13,6.86,4.5
5.5,13,23,11.1,1,6.2,14,84.54545454545455,23.272727272727273,107.81818181818181,15.272727272727273,3.37,4.133333333333333
5.4,16,22,10.9,1,5.7,17,163.45454545454547,21.727272727272727,185.1818181818182,30.363636363636363,3.66,3.911111111111111
5.1,10,2,16,0,5.3,10,50.5,2.6666666666666665,53.166666666666664,9.833333333333334,7.03,4
5,10,3,13.3,1,5.1,11,97.7,4,101.7,19.5,-1.51,4.366666666666667
5,8,10,6.4,1,5.1,9,44.75,5.333333333333333,50.083333333333336,8.916666666666666,1.19,2.65
5,3,3,30,0,6,3,31.25,7.5,38.75,6.25,6.84,3.9833333333333334
