Year,Player,School,Conf,G,Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,PPG.Off,SRS.SOS,Overall.Pct
1990,Chris Anderson,Alabama,SEC,11,4.6,3,8,4.4,0,4.6,3,44.72727272727273,3.1818181818181817,47.90909090909091,9.636363636363637,21.7,1.38,0.583
1990,Art Greathouse,Arizona,Pac-10,10,4.6,5,3,6.3,0,4.7,5,48.2,1.9,50.1,10.4,22.3,4.74,0.583
1990,Adrian Walker,Texas,SWC,10,4.6,6,8,10.3,0,5,6,44.9,8.2,53.1,9.8,29.8,7.08,0.833
1990,Aaron Craver,Fresno State,Big West,10,4.5,17,34,7.6,1,4.9,18,100.3,25.9,126.2,22.4,31.5,-11.46,0.773
1990,Tony Alford,Colorado State,WAC,13,4.5,9,14,8.4,0,4.8,9,53,9,62,11.846153846153847,29.1,-2.43,0.692
1990,Ron Jackson,Tulsa,Ind,9,4.5,2,6,6.8,0,4.6,2,63.22222222222222,4.555555555555555,67.77777777777777,14,16.6,-3.67,0.273
1990,Rob Perez,Air Force,WAC,9,4.5,5,0,0,0,4.5,5,60.55555555555556,0,60.55555555555556,13.444444444444445,21.8,-0.22,0.583
1990,Ralph Dawkins,Louisville,Ind,11,4.5,5,27,13.8,1,6.2,6,49.27272727272727,33.90909090909091,83.18181818181819,11,28.8,-4.41,0.875
1990,Larry Ware,Georgia,SEC,11,4.5,5,3,5,0,4.5,5,48.54545454545455,1.3636363636363635,49.90909090909091,10.818181818181818,16.8,4.22,0.364
1990,Scott Lockwood,USC,Pac-10,13,4.5,3,22,8.5,1,5.1,4,41.07692307692308,14.307692307692308,55.38461538461539,9.076923076923077,26.8,7.35,0.654
1990,Phil Brown,Texas,SWC,11,4.5,1,4,6,0,4.5,1,46.18181818181818,2.1818181818181817,48.36363636363637,10.272727272727273,29.8,7.08,0.833
1990,Damon Denaburg,Louisiana,Ind,9,4.5,7,0,0,0,4.5,7,48.888888888888886,0,48.888888888888886,10.777777777777779,17.9,-2.55,0.455
1990,Terry Samuels,Kentucky,SEC,10,4.5,0,34,6.6,2,5.2,2,32.5,22.3,54.8,7.2,20.7,0.48,0.364
1990,Terry Carter,Miami (OH),MAC,11,4.4,5,20,9.2,1,4.8,6,78,16.636363636363637,94.63636363636364,17.90909090909091,18.2,-11.47,0.5
