Year.x,Player,School,Conf,G,Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,PPG.Off,SRS.SOS,Overall.Pct,NFL.Rushing.Avg,NFL.Rushing.Avg.Max
1991,Terry Kirby,Virginia,ACC,11,5.4,7,37,11,2,6.4,9,80.63636363636364,36.90909090909091,117.54545454545455,14.909090909090908,27.3,0.12,0.708,4.01,5.4
1991,Rodney Culver,Notre Dame,Ind,11,5.4,2,6,12.7,0,5.9,2,50,6.909090909090909,56.90909090909091,9.181818181818182,35.8,6.24,0.769,4.05,7.9
1991,Amp Lee,Florida State,Ind,12,5.3,11,26,12.9,3,6.2,14,81.41666666666667,28,109.41666666666667,15.5,34.5,4.59,0.846,3.3444444444444446,5.4
1991,Lamont Warren,Colorado,Big 8,9,5.3,7,11,10.6,0,5.6,7,92.22222222222223,13,105.22222222222223,17.444444444444443,27.4,3.57,0.708,3.0125,4.4
1991,Derrick Lassic,Alabama,SEC,11,5.3,2,4,9,0,5.5,2,33.45454545454545,3.272727272727273,36.72727272727273,6.363636363636363,27,1.74,0.917,3.6,3.6
1991,Bam Morris,Texas Tech,SWC,11,5.2,5,3,5,0,5.2,5,46.72727272727273,1.3636363636363635,48.09090909090909,8.909090909090908,28.6,-1.66,0.545,3.8833333333333333,4.3
1991,Greg Hill,Texas A&M,SWC,11,5.1,12,8,15.1,0,5.4,12,110.54545454545455,11,121.54545454545455,21.818181818181817,33.7,0.91,0.833,4.416666666666666,6
1991,Natrone Means,North Carolina,ACC,11,5.1,11,23,7.7,0,5.4,11,93.63636363636364,16.181818181818183,109.81818181818181,18.272727272727273,25.6,-1.55,0.636,3.6,4.2
1991,Tony Smith,Southern Mississippi,Ind,11,5.1,8,18,5.4,0,5.2,8,90.72727272727273,8.818181818181818,99.54545454545455,17.636363636363637,19.3,-3.27,0.364,3.8,3.8
1991,Vaughn Dunbar,Indiana,Big Ten,12,5,12,29,9.1,0,5.3,12,150.41666666666666,21.916666666666668,172.33333333333334,30.333333333333332,25.4,2.66,0.625,3.3333333333333335,3.7
1991,Ricky Powers,Michigan,Big Ten,12,5,9,15,7.1,0,5.1,9,99.75,8.916666666666666,108.66666666666667,20,35,6.87,0.833,3.6,3.6
1991,Errict Rhett,Florida,SEC,11,5,10,40,9,0,5.6,10,100.81818181818181,32.81818181818182,133.63636363636363,20.363636363636363,32.4,5.91,0.833,3.5285714285714285,4.1
1991,Randy Jordan,North Carolina,ACC,11,5,7,11,14.5,2,5.8,9,56.18181818181818,14.545454545454545,70.72727272727273,11.272727272727273,25.6,-1.55,0.636,3.575,4.7
1991,Russell White,California,Pac-10,11,4.9,14,14,9.9,2,5.2,16,107,12.636363636363637,119.63636363636364,21.90909090909091,36.9,4.66,0.833,5,5
1991,Michael Carter,Hawaii,WAC,12,4.9,16,1,30,0,5.1,16,91,2.5,93.5,18.416666666666668,27.9,-0.34,0.375,4.3,4.3
1991,James Stewart,Tennessee,SEC,11,4.9,8,18,5.9,0,5,8,85.36363636363636,9.636363636363637,95,17.272727272727273,29.3,5.89,0.75,4.088888888888889,4.8
1991,Aaron Hayden,Tennessee,SEC,11,4.9,7,10,9.9,1,5.2,8,64,9,73,13.181818181818182,29.3,5.89,0.75,3.7666666666666666,4.6
1991,Curtis Martin,Pitt,Big East,8,4.9,2,20,9,0,5.5,2,69.5,22.375,91.875,14.25,22.2,3.42,0.545,3.9727272727272727,4.6
1991,Mazio Royster,USC,Pac-10,11,4.9,7,7,4.4,0,4.9,7,49.27272727272727,2.8181818181818183,52.09090909090909,10.090909090909092,20.8,10.54,0.273,2.15,3.5
